,UniqNO,articleurl,status
0,1,https://www.telegraph.co.uk/news/2017/05/06/another-arctic-ice-panic-world-temperatures-plummet/,s
1,2,https://www.telegraph.co.uk/comment/11763272/How-Arctic-ice-has-made-fools-of-all-those-poor-warmists.html,s
2,3,https://www.theaustralian.com.au/commentary/the-truth-of-climate-change-is-revealed-at-school/news-story/31d9ab27de3ec577217a590476bf16c1,s
3,4,https://www.bostonglobe.com/opinion/columns/2017/03/14/why-are-climate-change-models-flawed-because-climate-science-incomplete/hekwjPBTScRpFyXaXnrWhI/story.html,s
4,5,https://www.theaustralian.com.au/commentary/opinion/repeat-after-me-carbon-dioxide-is-good-for-us/news-story/3351d99047e42ab2719250ec26aa6931,s
5,6,https://www.wsj.com/articles/the-phony-war-against-co2-1477955418,s
6,7,https://www.thetimes.co.uk/article/scientists-are-exaggerating-carbon-threat-to-marine-life-dvwrhgv8d,s
7,8,https://www.cnn.com/2017/05/29/opinions/withdraw-paris-accord-opinion-cruz/index.html,s
8,10,https://www.investors.com/politics/editorials/global-warming-computer-model-nitrogen-rocks/,s
9,11,https://www.breitbart.com/politics/2017/06/06/delingpole-global-warming-is-myth-58-scientific-papers-2017/#,s
10,12,https://www.dailywire.com/news/global-quackery-earth-has-not-warmed-past-19-years-joseph-curl,s
11,13,https://www.forbes.com/sites/jamestaylor/2015/02/09/top-10-global-warming-lies-that-may-shock-you/#3ed0b59e53a5,s
12,14,https://www.forbes.com/sites/jamestaylor/2015/05/19/updated-nasa-data-polar-ice-not-receding-after-all/#14cac61e2892,s
13,15,https://www.spectator.com.au/2016/04/ocean-acidification-yet-another-wobbly-pillar-of-climate-alarmism/,s
14,17,https://www.theaustralian.com.au/commentary/opinion/misguided-renewable-energy-policies-will-ruin-the-nation/news-story/1f0ad93fa98a37fbf6ddd6c8eb425231,s
15,18,https://www.breitbart.com/politics/2017/06/05/who-united-states-among-least-polluting-nations-on-the-planet/,s
16,19,https://nypost.com/2015/09/07/wake-up-obama-climate-change-has-been-happening-forever/,s
